collatz	PASS	1	0.001399	yes
collatz-conjecture	PASS	1	0.001474	yes
calculator	PASS	1	0.001897	yes
data-table	PASS	1	0.001531	yes
bob	PASS	1	0.004203	yes
expression-eval	PASS	1	0.001590	yes
hamming	PASS	1	0.001751	yes
isbn-verifier	PASS	2	0.009794	yes
isogram	PASS	2	0.004497	yes
grade-report	PASS	2	0.015512	yes
named-things	PASS	1	0.001887	yes
pangram	PASS	2	0.004088	yes
phone-number	PASS	3	0.011201	yes
pipeline	PASS	1	0.003253	yes
markdown-renderer	PASS	2	0.006450	yes
raindrops	PASS	1	0.001738	yes
roman-numerals	PASS	2	0.007612	yes
sortable	PASS	1	0.002864	yes
todo-app	PASS	1	0.001835	yes
traffic-light	PASS	1	0.001374	yes
affine-cipher	PASS	2	0.029855	yes
scrabble-score	PASS	2	0.020846	yes
config-merger	PASS	3	0.050267	yes
